popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
66,212412,0,0.73,0.58,0,-7.976,1,0.124,0.0399,2.48E-05,0.0703,0.55,167.915,4,hip-hop
79,132780,1,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,4,hip-hop
65,209142,1,0.788,0.752,1,-3.823,1,0.0843,0.0711,0,0.61,0.236,140.032,4,hip-hop
57,202105,0,0.815,0.427,0,-7.521,1,0.082,0.59,0,0.0648,0.167,95.172,4,hip-hop
66,141176,0,0.899,0.479,2,-10.432,1,0.272,0.0126,0,0.142,0.309,85.005,4,hip-hop
63,229104,0,0.731,0.694,5,-4.314,0,0.0896,0.721,0,0.154,0.656,62.995,4,hip-hop
58,163008,0,0.677,0.68,1,-5.19,0,0.103,0.0616,4.49E-05,0.0812,0.473,189.954,4,hip-hop
64,157516,0,0.612,0.829,9,-4.225,1,0.0583,0.0606,0,0.38,0.694,94.961,4,hip-hop
7,240266,0,0.771,0.905,6,-3.268,0,0.155,0.11,7.46E-06,0.656,0.858,163.978,4,hip-hop
2,192477,1,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,hip-hop
5,192477,1,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,hip-hop
2,192477,1,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,hip-hop
87,284200,1,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4,hip-hop
0,166605,1,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,hip-hop
63,178339,1,0.549,0.751,6,-4.398,0,0.179,0.637,0,0.113,0.164,138.504,4,hip-hop
1,192477,1,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,hip-hop
2,279613,0,0.734,0.531,1,-5.662,1,0.0321,0.196,0,0.119,0.199,130.025,4,hip-hop
8,182413,1,0.843,0.789,7,-2.801,1,0.247,0.0028,2.41E-05,0.0322,0.571,125.071,4,hip-hop
3,279613,0,0.734,0.531,1,-5.662,1,0.0321,0.196,0,0.119,0.199,130.025,4,hip-hop
0,192477,1,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,hip-hop
63,276279,0,0.537,0.768,7,-4.412,0,0.177,0.139,0,0.108,0.508,171.997,4,hip-hop
0,192477,1,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,hip-hop
2,248768,0,0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4,hip-hop
4,248768,0,0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4,hip-hop
5,248768,0,0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4,hip-hop
9,241880,0,0.691,0.894,9,-1.681,0,0.115,0.291,0,0.104,0.623,184.018,4,hip-hop
0,193226,0,0.737,0.86,8,-2.652,0,0.0594,0.11,1.94E-06,0.0574,0.656,93.989,4,hip-hop
2,248768,0,0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4,hip-hop
1,248768,0,0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4,hip-hop
